Credit_Score,Annual_Income,Debt_to_Income_Ratio,Employment_Years,Loan_Amount,Loan_Approved
402,101182,26.92646652747722,10,30338,0
735,49402,13.0505695689237,3,97435,0
570,24263,25.21439322603423,5,74681,0
406,197900,8.749477016202146,0,37101,0
371,67924,6.419654882221784,19,7775,0
320,94182,12.434145903515251,15,50619,0
421,162736,57.97133113740456,14,50838,0
766,55737,35.22412447422593,16,24539,1
514,121332,58.1202188634271,7,62124,0
630,109563,28.78738330815726,11,70149,1
758,180445,22.149887319689277,9,31616,1
387,187469,32.837802456213424,14,84655,0
672,148575,29.173142874810058,8,95695,1
399,121371,10.811557634395914,1,59567,0
430,58709,40.24544730796134,4,42099,0
608,170322,16.88210003802798,5,80831,1
643,41172,39.07733751938063,6,66799,0
791,31555,40.761060081898435,0,95221,0
713,73276,13.361366922075646,6,30479,1
685,77492,8.374229491086748,19,51172,1
491,109599,47.94188723376419,11,60863,0
576,175834,30.28902330731261,15,47043,0
460,31046,8.199008752801168,15,87569,0
759,136021,59.717647444337196,10,20408,0
613,179841,8.177930854800165,3,62980,1
321,174222,43.22693758722043,12,87956,0
552,24853,59.10234088948775,6,21351,0
774,140900,18.154905731875907,3,9131,1
358,172864,12.82371527779579,14,49825,0
810,79129,11.67617166823359,18,16349,1
775,134130,21.680133116217757,8,65931,1
489,183059,10.557519605585568,10,49254,0
543,166922,43.068873793177254,7,43225,0
804,163184,8.426048897153448,0,17453,0
430,141789,33.018217048238434,7,23814,0
784,175130,59.818326961913726,12,23263,0
320,196492,49.76836482283103,3,82694,0
466,58890,38.8370691027056,7,20735,0
573,86017,21.843949143263643,2,20830,0
687,198376,39.314270996040115,8,52893,1
615,183993,33.98728051514084,1,49673,0
313,152596,28.434586113970433,1,94462,0
541,120424,12.189070720710971,12,50066,0
645,35048,53.76323183822567,14,8373,0
639,186183,29.73815568517274,11,15335,1
391,188976,15.704238150142078,3,28741,0
666,74912,25.226764298250927,7,15692,1
754,54008,27.777136389090987,8,52295,1
727,151132,50.51458425617809,4,50541,0
808,103559,45.348790930877115,19,39057,0
334,75337,47.31176915027369,17,71983,0
505,130616,5.606719543575597,10,24583,0
380,33350,27.888469899886882,14,27765,0
687,44354,31.4739283399428,8,64287,1
301,65186,6.055575225268118,16,28906,0
689,48145,19.28972648097688,11,90103,0
405,185092,46.81594027171742,6,84675,0
776,106123,12.541033815094949,9,51525,1
701,40581,34.44205722989254,9,43230,1
461,108929,16.83610296094806,12,24520,0
501,43051,5.66664260541413,18,90238,0
569,71474,18.26608016797478,10,56934,0
570,111748,58.67305652005296,12,30566,0
755,145995,49.08454115356443,7,78193,0
761,89626,57.77671543765684,7,35134,0
551,26960,31.831972415949934,3,15345,0
595,186844,11.035490927262693,14,46185,0
637,172592,35.13777189355311,10,97949,1
352,56408,29.99075340079785,10,75744,0
516,114006,51.439639550678876,0,38455,0
487,77134,10.394541943133452,16,33018,0
679,171563,31.8532625361978,14,59219,1
792,152413,13.252676558169135,19,50991,1
340,195695,22.857175978953297,5,78616,0
456,110327,45.55463925632898,14,92438,0
314,151410,31.18099711528216,8,14486,0
364,163326,25.67385568301731,13,43862,0
820,31344,26.696195321351944,17,63870,0
643,152822,30.269572262329266,16,91694,1
428,87957,48.175909911038126,17,48856,0
771,125423,54.06465789171289,4,91055,0
362,78053,57.543407757716054,19,36379,0
438,166968,48.27968624404123,19,69729,0
798,97454,22.3473792661407,8,33378,1
691,110600,42.84740883475982,10,59353,1
718,142732,29.068171823046555,0,54996,0
588,179007,19.006884212532814,17,19031,0
678,57641,51.24793686842575,5,85072,0
789,49711,7.113449192927875,1,70982,0
530,90342,54.59690956744829,14,41683,0
340,126896,30.381260554360377,13,22618,0
327,163254,40.04608122445542,4,11587,0
434,107833,41.26446572131805,5,67790,0
500,76276,54.2314757388595,5,36480,0
332,39541,40.016832519196406,17,25527,0
347,114457,38.766347161803395,13,28569,0
802,64813,8.665862230837948,9,16151,1
706,188270,33.512441206986225,13,76094,1
398,159892,13.259295044937291,12,64174,0
846,44070,45.55885727968171,2,49739,0
761,162194,33.1722056446971,5,37954,1
304,100559,42.412527856459434,7,40303,0
517,61786,7.292009533131134,11,39700,0
802,157809,9.663560882519178,12,98036,1
697,56062,44.39778634344752,10,72568,1
692,71571,8.964638479927036,11,71788,1
506,45510,8.919120027089223,0,76045,0
314,39426,5.66596613791881,16,42842,0
760,57265,57.60757690647141,15,18900,0
540,168922,45.562959770245385,10,85059,0
395,86150,24.42882746761353,12,6881,0
784,107312,21.30945697082104,17,38037,1
706,109613,24.233677636021724,10,6630,1
530,94910,47.605944214965,11,25789,0
470,72375,41.375383608872795,5,93059,0
840,141826,15.185756232710737,8,88494,1
335,55435,14.57601344337464,15,51151,0
824,116443,10.411760734236852,3,53920,1
459,154055,41.3166495835736,2,72231,0
542,171734,47.040496422195474,15,85357,0
385,43510,19.57755355787522,11,8262,0
327,192070,6.151972856700205,10,71981,0
639,114071,9.519441711203504,4,86972,1
630,26640,58.23230191647668,17,80485,0
805,64547,21.249462761258116,18,59722,1
647,74620,47.30727313109735,5,94499,0
772,166389,39.35649628698451,17,55818,1
530,135608,26.006680180909274,5,34932,0
489,27564,16.312799420755532,3,11901,0
524,178417,11.676252998767353,11,13597,0
684,133824,38.82571324213767,18,68909,1
676,99273,47.604857935078336,1,77391,0
582,94859,40.41473394476219,16,89214,0
558,130017,34.16661732870371,10,13263,0
658,143618,7.307317288739995,10,68293,1
755,145341,58.26688276769111,15,30805,0
710,49430,48.9292805410016,1,96679,0
617,47788,21.10521201855306,1,16874,0
524,199615,58.89836811473678,7,98065,0
533,164991,38.10348742999771,12,91402,0
673,89346,37.033246201398555,9,19079,1
771,116122,46.144024868624264,7,54850,0
532,59974,49.64733834495757,3,77779,0
412,127309,41.10632340323264,14,14018,0
796,36371,12.045266050141002,0,54500,0
741,65084,23.604712829697412,10,17100,1
567,180701,56.04460021793273,6,62021,0
809,81916,17.353858651411855,16,24800,1
685,93972,25.469186311063233,19,68400,1
686,32984,28.76422856193078,17,97446,0
412,53039,29.16727443319487,11,34437,0
380,105431,38.7116770371989,8,81537,0
412,103691,56.86917107595892,4,51675,0
301,78606,18.238099150787775,9,24942,0
519,161688,11.682575696550494,3,25862,0
524,122665,15.860876942296553,4,16669,0
684,125373,53.78086951150982,9,58772,0
702,44574,40.51959469603633,10,20916,1
429,154502,20.724873408153805,9,15878,0
352,163748,49.87708164327395,7,7985,0
715,161888,52.37534979998898,1,78648,0
546,52733,51.55828862796529,7,46235,0
738,22050,55.5409593501755,15,23931,0
502,129996,18.873256109534886,4,97876,0
483,53933,46.5273060810453,2,5336,0
422,44951,30.3296723500777,11,47933,0
700,52413,51.30992040895338,12,89899,0
593,185873,45.066987243888725,12,50536,0
579,183985,47.70460955748486,9,74504,0
497,132573,41.08890107245893,3,56148,0
810,191672,14.758582320833877,8,21279,1
443,186472,34.976480539331604,1,73665,0
500,155566,59.15683567384795,18,76386,0
423,142744,56.55634365734154,0,91124,0
486,109431,7.374555468835641,6,82485,0
625,63001,14.064814865119041,16,79055,1
763,87364,12.245082540000904,2,96911,1
648,144988,44.928895049191254,19,82273,1
702,65028,49.97819314213198,19,71670,0
645,188645,16.743125147086957,2,81474,1
810,151878,32.821898112350596,2,59028,1
446,144343,51.238666540616,16,95022,0
447,148301,45.30408496214378,6,96632,0
788,146295,34.82304630205165,13,76128,1
637,180829,37.46912297523251,16,23108,1
772,54636,32.9598300803954,17,57495,1
450,199352,21.36516482253513,12,87806,0
714,44262,36.076209607245886,19,98185,0
597,100435,42.88869161275499,19,81533,0
562,148583,53.03276037234442,17,61830,0
443,189269,39.99602446885864,3,79640,0
645,61844,46.86168453737369,0,57509,0
301,84754,13.803939922501515,17,71406,0
603,185229,30.385661093088444,0,99220,0
553,97129,5.513239090490131,12,44519,0
752,60042,18.567337548689267,19,54649,1
336,81665,44.95539433121527,19,39524,0
459,136953,59.54954732421499,9,38885,0
308,178448,10.454795477296875,10,49369,0
532,165271,27.082187372370853,8,35676,0
398,138533,49.00390327845377,8,69093,0
507,93781,16.221959904589436,4,52764,0
430,86262,35.529672211625744,0,55799,0
703,66600,45.318921281632115,16,84414,0
451,96898,38.879199764309845,1,98095,0
353,169369,15.341360403847887,12,77307,0
419,50448,24.54615127771567,8,87062,0
719,46172,48.10854814669685,3,36923,0
721,193946,35.48245827726092,4,83388,1
403,27657,5.287628744860201,10,52574,0
553,176497,46.85449180154516,18,48391,0
526,177757,6.942124521713149,2,58664,0
411,132855,46.01535805021777,11,72384,0
809,175650,16.136430809088058,18,36027,1
772,179903,57.69404140656591,18,40464,0
398,27906,25.236741321614645,12,39485,0
452,81413,22.981238898594352,6,24456,0
637,74028,13.188842768284458,14,79795,1
462,27287,21.808231851961818,6,40554,0
460,53660,53.21579190055103,7,51922,0
697,80504,59.798388569498606,4,18409,0
576,122979,25.25702417787666,13,74327,0
803,54701,29.67358470249984,3,96400,0
691,103300,44.71390160115054,9,41639,1
434,168746,53.7407679255791,19,68627,0
494,103560,37.61743838027313,14,88424,0
700,174946,26.533913399780612,17,24692,1
332,63642,27.694201246674307,19,94037,0
759,85160,43.258998057324376,12,83840,1
769,37602,5.177004498235328,7,59200,0
674,123320,39.07741356029124,8,98063,1
321,108801,24.552115574274655,15,62415,0
337,45931,48.680853220239634,18,23074,0
529,114377,10.11448519027227,15,20549,0
664,49192,37.351124682161476,6,34963,1
737,66542,31.453508943736807,13,96456,1
582,147015,40.327903924787506,13,57265,0
326,62520,8.56694769656326,3,21061,0
525,84772,36.89910830854722,14,63226,0
576,70106,35.8816523377738,2,33810,0
583,101121,35.8363051928894,4,65006,0
780,45559,38.19182166280501,0,27800,0
752,125595,42.20573654744992,2,80476,1
815,53742,49.27439498244234,14,74460,0
846,89669,19.84013960705179,7,62767,1
491,172826,50.37771755990342,3,33054,0
348,155044,32.404062524489945,1,80319,0
811,90831,9.238205352388213,9,50397,1
316,132217,8.220301108418855,3,18233,0
471,61873,23.383107528283343,2,95020,0
519,126532,48.169333741130714,1,30068,0
457,146267,43.92245141075037,16,70727,0
776,160975,48.37382305698235,19,95610,0
345,154092,33.44979810428852,12,75453,0
672,61755,29.21094488755198,4,30832,1
817,105956,13.109888968845617,8,91242,1
398,106988,23.050601448512136,5,18682,0
336,65648,28.87106513956314,4,97298,0
579,145991,9.873023632378947,9,28383,0
648,160588,17.13365739911662,7,63160,1
796,135005,37.902391173505634,6,98332,1
601,22396,45.46147128315544,6,28666,0
480,104082,59.90911312661223,5,63817,0
398,170201,56.321233223895675,19,96198,0
415,148322,40.341085974435536,2,39642,0
490,152663,28.16864293117396,18,46830,0
552,31303,39.9897550589528,14,15234,0
460,181633,48.21083899441276,3,62616,0
555,91719,11.508490500786301,11,14221,0
622,119616,27.544768933295853,5,16410,1
427,144165,51.189125709958944,18,85055,0
317,106231,26.11081235631742,3,66413,0
622,27314,36.452974917495254,14,6051,0
587,39623,37.3273148474209,8,80301,0
454,125228,15.146193922350164,4,81918,0
789,184202,24.92294929087586,12,83116,1
685,117624,23.398120880806268,17,61563,1
403,177364,6.440818969263564,4,49757,0
692,131785,6.330547014024539,15,82475,1
545,106206,50.74333740216754,18,56257,0
475,89274,20.018894548504683,13,5307,0
338,153541,33.49433214313485,15,61889,0
776,73947,21.42990654738252,14,73895,1
837,173606,56.737358481343726,3,40944,0
707,68874,19.261321737617557,6,43134,1
824,69708,28.63112470064143,15,32323,1
805,94553,53.0001637766531,7,76762,0
335,88344,51.30634617354948,16,92225,0
319,69138,15.235577981545253,15,30954,0
620,67638,49.145382038764076,9,60021,0
811,98249,30.200278770584095,9,94959,1
699,125865,31.56328796469454,1,84866,0
770,22719,12.341398482876908,8,75427,0
442,173962,9.433083256641856,16,9992,0
391,187581,45.03666188355709,10,6961,0
653,62534,32.30536337954149,9,17497,1
350,112241,29.026788643834877,16,37551,0
489,169859,45.12295257588182,3,81384,0
424,146209,47.10320944451104,15,60755,0
449,199917,13.739949221814445,19,18255,0
613,112124,38.562383221270274,14,9567,1
641,111659,12.444474525272703,4,53847,1
604,184134,46.32562973159751,5,53003,0
353,95713,41.132533594692674,16,25389,0
743,95418,57.61380415959019,0,49523,0
563,148232,8.792690899603166,18,66576,0
352,185904,8.138009663318988,3,48919,0
304,183038,20.520289108126008,16,87103,0
402,164059,19.393812605474828,8,8358,0
495,188383,18.58383394895999,1,93535,0
649,51575,54.844001928657015,7,81524,0
346,83852,18.725040991722835,14,10698,0
568,152079,19.957234937074706,6,71809,0
669,96242,46.76690443298801,5,98079,0
405,198589,29.7356913347797,0,60805,0
419,49257,47.71908063253497,14,36349,0
357,193279,8.595138666041189,6,81777,0
645,164353,31.816415652036138,16,55248,1
773,81246,6.848748010080545,1,80033,0
416,21435,8.4459261900445,8,49041,0
426,111357,54.8540599339426,8,36954,0
692,177732,12.658495411467733,12,13002,1
357,156156,34.28313752513694,5,74783,0
812,164579,27.61025814303886,5,92234,1
395,103807,24.103882944236346,19,24738,0
417,196611,54.490834012799986,19,15703,0
787,135953,6.200286822651923,2,54422,1
536,158563,41.5084327396574,16,88106,0
571,143797,57.986693881745275,16,66899,0
488,83888,35.80925009040131,11,17392,0
746,93609,56.52523541182005,15,49724,0
546,29077,7.874183360731307,14,37299,0
375,40953,28.033632549078877,12,20641,0
453,134682,19.308678502912812,0,84534,0
734,87889,45.19515307394014,16,11305,0
385,174893,58.97133997734856,2,23782,0
584,188639,19.10915343443363,14,83257,0
519,135374,40.979603081074096,3,82963,0
368,44860,15.895369801785707,3,25566,0
346,172267,36.093164001438545,17,72766,0
393,97475,30.516286767858492,16,11511,0
752,107266,58.46029312973454,18,31177,0
503,172499,38.46899999830566,10,9765,0
517,120732,24.222850464775032,19,25354,0
773,47083,11.275268168836336,2,28929,1
731,77372,13.3185755804214,7,33820,1
640,143786,17.39243114731793,13,34523,1
588,195136,18.80316637371639,0,76088,0
553,27813,51.78388318126258,13,71163,0
656,51598,35.86725335553887,1,82525,0
322,113106,33.78650012559015,3,18780,0
821,47082,11.312287952806962,18,11589,1
399,49241,52.30768313421892,5,39812,0
479,195641,44.75478667646661,0,98664,0
522,31745,8.721759904500086,16,50939,0
741,46029,43.93093034763728,7,56493,1
624,164097,34.89460195384554,18,98326,1
815,143395,9.494894016072804,0,45953,0
315,165360,30.206535284076104,4,70785,0
635,109186,31.658295792152582,15,24309,1
557,157612,14.117599708980165,5,59195,0
796,117768,57.013398085015524,7,30901,0
459,61846,51.74864543143641,12,28576,0
774,95932,41.79622855310096,15,36508,1
679,168554,30.426255855033396,2,79711,1
844,43411,27.647104787147967,18,30464,1
726,98797,40.80354069330248,11,65281,1
567,72307,34.998752817379795,15,21260,0
716,154165,8.425020823503708,10,40440,1
467,42042,33.18764568236824,9,61683,0
342,72930,49.35219894780617,19,46430,0
584,195485,30.25819326783269,3,6987,0
696,117883,7.857611765484762,11,30105,1
311,53756,48.24530096612182,1,83484,0
601,73268,16.07500801747859,18,18026,1
552,190286,19.224145918842133,4,73309,0
798,179674,14.058849438776274,7,50927,1
334,68901,23.161828567932364,6,80414,0
389,119986,46.621332812874925,13,62535,0
717,183268,33.56622227271656,2,47946,1
414,148386,16.26847007828919,17,61561,0
495,25626,53.28065429836224,15,15377,0
800,158496,53.3770020223341,18,58592,0
792,32857,52.88181337753038,18,12347,0
374,171054,18.13379162598466,17,38776,0
712,153052,29.818163929954345,19,8783,1
675,199362,59.17443108774813,15,60798,0
719,46431,47.46068619704947,7,9298,0
576,104976,6.49420816740579,0,75204,0
693,102711,8.586252519327063,16,91207,1
756,46385,30.516225724678304,11,60161,1
491,189230,55.00711132238581,10,65652,0
398,174091,34.62859888739928,4,39484,0
847,38639,32.37968794188596,11,25922,0
395,105530,10.801053497614681,16,39028,0
489,41563,41.12290575983617,5,25316,0
336,190413,50.2156738330124,0,81996,0
668,135672,25.92310041291593,4,21968,1
824,156848,47.65865180089301,13,35266,0
578,187516,58.046215964544636,4,29000,0
516,159783,16.2071552520229,0,19011,0
572,102970,33.78312971571077,17,7866,0
361,105553,20.792587694651655,15,10898,0
641,181779,48.60699304686116,8,23395,0
696,190182,36.76763512346366,18,44019,1
318,102879,39.902032965266706,4,9006,0
476,189899,48.885278778874174,1,39393,0
695,156727,26.77837599643502,14,15956,1
744,64859,55.329953762387376,6,55042,0
532,72098,34.3165876985377,3,11078,0
375,166323,13.68751525594414,0,34631,0
564,142413,43.27445149928413,12,67901,0
754,20526,48.629374274103995,19,74497,0
683,88760,22.421892238713966,6,99813,1
805,67837,52.144859134931416,14,46574,0
666,31536,54.83787901211715,13,36417,0
443,48541,20.22974680577949,18,93020,0
368,99083,59.09368099933722,19,88639,0
398,54531,12.739134042681712,17,70006,0
695,28712,16.11086176213695,9,99881,0
324,124101,15.132366158091436,8,44454,0
768,85455,54.169434050432876,7,6587,0
783,94744,40.986090377872905,9,59710,1
450,149749,13.365735577225008,16,91567,0
443,25109,29.217788010259195,1,96748,0
338,69268,38.84139137883911,5,80886,0
408,74615,9.59052467441608,4,23816,0
341,102503,53.53290026240363,8,90824,0
485,180831,49.198194449284436,4,34432,0
697,105708,32.7863725467151,17,53617,1
522,122471,58.19196383925437,19,77373,0
432,177661,27.976853860130483,8,39217,0
462,181087,59.12606754700738,16,25884,0
514,180081,41.73559993419949,16,10454,0
534,103309,39.90692002896678,11,79960,0
308,146446,14.127519241268175,6,48618,0
373,126661,53.50602670675542,2,88948,0
791,177215,28.511932835633832,9,67671,1
